key,ACK_ID,participants,fund_type,broker_tot,broker_comm,broker_fees,premium,covered,sc_total,sc_direct,sc_indirect,broker_pct,admin_per_p
250965557|502,20240729155826NAL0032438400001,268.0,fully_insured,29042.0,0.0,29042.0,4679035.0,590.0,57784.0,57784.0,0.0,0.006206835383791743,215.61194029850745
380900420|501,20241011143043NAL0022041793001,185.0,mixed,33824.0,33824.0,0.0,2223671.0,467.0,10062.0,9477.0,585.0,0.015210883264655608,54.38918918918919
660227304|501,20240729074331NAL0031645808001,558.0,fully_insured,93930.0,93930.0,0.0,2087326.0,558.0,21854.0,21854.0,0.0,0.04500015809701024,39.16487455197132
941631996|502,20240724130136NAL0020346512001,314.0,mixed,68942.0,68942.0,0.0,342588.0,218.0,126928.0,126928.0,0.0,0.2012388057958831,404.22929936305735
631097581|501,20240725075256NAL0014129009001,175.0,mixed,43898.0,43898.0,0.0,1152891.0,331.0,5016.0,5016.0,0.0,0.038076453021144235,28.662857142857142
660649625|501,20240731143732NAL0021695361001,2365.0,fully_insured,205613.0,205613.0,0.0,7528141.0,2365.0,6133150.0,6081141.0,52009.0,0.02731258620156025,2593.2980972515857
452116751|503,20240731150905NAL0047206066004,933.0,mixed,5026.0,3357.0,1669.0,535875.0,1925.0,803345.0,803345.0,0.0,0.009379052950781432,861.0342979635584
364847532|501,20241011110134NAL0036729360001,717.0,mixed,19630.0,19630.0,0.0,681570.0,1190.0,702834.0,702834.0,0.0,0.02880115028537054,980.2426778242677
420310580|505,20240725124506NAL0014083153002,475.0,mixed,90158.0,8348.0,81810.0,3842538.0,843.0,43670.0,43670.0,0.0,0.023463138165452105,91.93684210526315
050147010|501,20240726141819NAL0016139409001,3303.0,mixed,114981.0,114981.0,0.0,35342855.0,6207.0,79336.0,79336.0,0.0,0.0032533025416311163,24.019376324553438
420645088|507,20241011141643NAL0022019233003,497.0,mixed,45705.0,43776.0,1929.0,4321723.0,1828.0,7218.0,7218.0,0.0,0.010575643094201085,14.523138832997988
133871360|501,20240729125605NAL0012523059001,654.0,mixed,308153.0,13240.0,294913.0,5741710.0,582.0,17996.0,17996.0,0.0,0.05366920307713208,27.516819571865444
510002130|501,20240725135919NAL0014602865001,116.0,mixed,38617.0,0.0,38617.0,677817.0,136.0,44320.0,44320.0,0.0,0.056972604700088664,382.0689655172414
381686050|501,20240726144511NAL0009077827001,403.0,mixed,61542.0,57584.0,3958.0,3874315.0,678.0,5196.0,5196.0,0.0,0.01588461444152063,12.893300248138958
262537582|502,20240728225203NAL0018963649001,175.0,mixed,34310.0,34310.0,0.0,544868.0,180.0,232436.0,196975.0,35461.0,0.06296937973968007,1328.2057142857143
462399755|501,20240729164703NAL0019697473001,191.0,fully_insured,159257.0,51255.0,108002.0,726674.0,0.0,124145.0,124145.0,0.0,0.21915879748002542,649.9738219895288
570283944|501,20240731095702NAL0022041553001,414.0,mixed,70907.0,70907.0,0.0,2531992.0,392.0,240539.0,240539.0,0.0,0.028004432873405604,581.012077294686
941009696|515,20240724193710NAL0021376976001,5388.0,mixed,1226.0,1226.0,0.0,3905653.0,15718.0,8359778.0,8359778.0,0.0,0.00031390397457224184,1551.5549368968077
561239384|502,20240801125837NAL0015204387004,195.0,mixed,75668.0,34970.0,40698.0,311796.0,119.0,40698.0,40698.0,0.0,0.2426843192343712,208.7076923076923
237105550|501,20240821134215NAL0007066352001,301.0,mixed,62986.0,62986.0,0.0,1588487.0,207.0,46518.0,46518.0,0.0,0.03965156781264184,154.54485049833886
136213516|501,20240729125658NAL0012523507001,603.0,mixed,284449.0,12222.0,272227.0,5300040.0,538.0,16612.0,16612.0,0.0,0.053669217590810635,27.548922056384743
470355979|501,20240731120038NAL0022182961001,1678.0,mixed,41969.0,0.0,41969.0,24396117.0,3036.0,916495.0,880317.0,36178.0,0.0017203147533683331,546.1829558998808
910462347|502,20240730133625NAL0020085937005,1004.0,mixed,20629.0,0.0,20629.0,528573.0,1004.0,637215.0,637215.0,0.0,0.0390277218094757,634.6762948207171
581730881|501,20240731122712NAL0012670003001,1407.0,fully_insured,202793.0,202793.0,0.0,2390900.0,1149.0,1912321.0,712834.0,1199487.0,0.08481868752352671,1359.1478322672353
020325043|501,20240731083922NAL0012534195001,176.0,fully_insured,239796.0,172374.0,67422.0,2692164.0,587.0,29522.0,29522.0,0.0,0.08907183960561095,167.73863636363637
131788491|501,20240731101602NAL0021329649001,4130.0,mixed,16910.0,0.0,16910.0,4935537.0,2909.0,11540718.0,11413625.0,127093.0,0.003426172268590024,2794.3627118644067
310971399|509,20240729065418NAL0018542049001,182.0,mixed,45332.0,45332.0,0.0,2429466.0,135.0,2611.0,2611.0,0.0,0.01865924445948204,14.346153846153847
160908242|554,20240730101440NAL0019867457001,314.0,fully_insured,4038.0,4038.0,0.0,387496.0,314.0,231903.0,231903.0,0.0,0.010420752730350764,738.5445859872611
990156159|514,20241011153839NAL0039340160001,2085.0,mixed,32770.0,32770.0,0.0,17172626.0,3792.0,311915.0,311915.0,0.0,0.001908269591383403,149.59952038369303
273615836|503,20240729112842NAL0019267953001,60.0,fully_insured,8109.0,7713.0,396.0,259868.0,60.0,15426.0,7713.0,7713.0,0.031204303723428816,257.1
232688382|501,20241011175847NAL0039730192001,2115.0,mixed,164975.0,126900.0,38075.0,1234424.0,420.0,623106.0,623106.0,0.0,0.13364532769939663,294.6127659574468
383456423|501,20240731123723NAL0014305699001,210.0,self_insured,9555.0,9555.0,0.0,204652.0,36.0,80581.0,80581.0,0.0,0.04668901354494459,383.7190476190476
383271446|501,20240731104507NAL0014247283009,79.0,fully_insured,22595.0,22220.0,375.0,568636.0,84.0,32146.0,32146.0,0.0,0.03973543708101492,406.9113924050633
