hsa,year,n_hospitals,hhi_pre,hhi_post,hhi_shift,concentrated_pre,concentrated_post
45251,2022,11,2740.4544567409334,5288.399426632905,2547.944969891971,True,True
45251,2023,11,2740.4544567409334,5288.399426632905,2547.944969891971,True,True
45251,2025,11,2740.4544567409334,5288.399426632905,2547.944969891971,True,True
45253,2025,13,2393.687702764199,4398.919569589408,2005.2318668252087,False,True
45276,2022,16,1911.681824279637,3219.8790598095034,1308.1972355298662,False,True
45276,2025,16,1874.2036274958084,3148.704465782655,1274.5008382868466,False,True
46003,2019,3,4596.173362045495,8534.68973540259,3938.5163733570944,True,True
46008,2023,2,5001.922337562475,10000.0,4998.077662437525,True,True
46010,2019,2,5000.0,10000.0,5000.0,True,True
46028,2023,39,701.6103270804099,1080.6897358109532,379.07940873054326,False,False
46030,2019,3,9382.586823727912,9688.793763377023,306.2069396491115,True,True
49048,2023,34,637.872334343334,990.2671899854984,352.3948556421643,False,False
49048,2024,34,637.872334343334,990.2671899854984,352.3948556421643,False,False
50020,2023,2,7944.835045970795,10000.0,2055.1649540292046,True,True
50041,2023,2,6288.757396449704,10000.0,3711.242603550296,True,True
50062,2021,2,6348.002958579881,10000.0,3651.997041420119,True,True
5013,2019,2,5000.0,10000.0,5000.0,True,True
5032,2024,10,1485.5958538334437,2279.104465850077,793.5086120166332,False,False
5035,2020,2,5000.0,10000.0,5000.0,True,True
5037,2022,7,2792.484683721571,4652.061076456829,1859.5763927352582,True,True
5037,2024,7,2792.484683721571,4652.061076456829,1859.5763927352582,True,True
5041,2019,2,5000.0,10000.0,5000.0,True,True
5073,2023,2,5525.931336742148,10000.0,4474.068663257852,True,True
5075,2025,8,1702.771301163543,2577.0740877695544,874.3027866060113,False,True
5079,2024,7,2517.5537190082646,4268.826446280992,1751.2727272727275,True,True
5084,2020,4,4235.814339981007,7809.85188837753,3574.0375483965227,True,True
5084,2021,4,4235.814339981007,7809.85188837753,3574.0375483965227,True,True
5085,2022,5,2936.3840905791844,5398.279866453766,2461.8957758745814,True,True
5088,2024,6,2291.319447295178,3979.52397763565,1688.204530340472,False,True
5091,2019,3,5950.726267652706,8342.263578393404,2391.5373107406976,True,True
5091,2024,3,6000.369822485208,8366.20644312952,2365.8366206443125,True,True
51036,2023,3,4058.713251851154,7891.936615661754,3833.2233638106004,True,True
51044,2024,5,4373.556884162824,8236.674075944065,3863.1171917812417,True,True
5116,2025,2,5473.372781065089,10000.0,4526.627218934911,True,True
5125,2024,2,9864.871118515433,10000.0,135.1288814845666,True,True
5125,2025,2,9864.871118515433,10000.0,135.1288814845666,True,True
5126,2019,61,406.12499607372047,603.9287154303106,197.80371935659014,False,False
5126,2020,64,405.93016248228116,603.6388942604148,197.7087317781336,False,False
5126,2021,68,405.6706025225841,603.2527905921232,197.58218806953914,False,False
5130,2020,5,2910.2481344563244,5563.784895009683,2653.536760553359,True,True
5150,2025,6,6505.3246387690015,8507.385883843124,2002.0612450741228,True,True
5157,2020,4,9475.399006050777,9910.814828160894,435.415822110117,True,True
5165,2021,8,2210.977468603857,4064.9373597719327,1853.959891168076,False,True
5173,2019,3,3369.073506769734,5925.699592069968,2556.626085300234,True,True
5198,2019,13,1509.7974631291777,2631.8403916632533,1122.0429285340756,False,True
5200,2019,15,1198.1529924047495,1824.552298962816,626.3993065580664,False,False
5201,2021,3,4417.7665264647585,8394.050868240973,3976.284341776214,True,True
52046,2023,2,5293.84756657484,10000.0,4706.15243342516,True,True
52060,2021,2,5027.434842249659,10000.0,4972.565157750341,True,True
52079,2021,3,4380.925021545532,8172.938810686583,3792.0137891410504,True,True
